n/n0,P
2.00690, 7.53441
2.50345, 15.87887
2.91724, 24.05180
3.20690, 30.74007
3.48276, 40.22612
3.98621, 54.15101
4.60000, 56.23413
4.60690, 206.81106
3.50345, 115.75096
2.75172, 56.23413
2.50345, 36.43136
2.00000, 13.39828
